Time	Type	Direction	Station	Schedule	Routnr	granted
07:48:00	D	S	Paradis	07:48:00	|12	|1
07:49:00	D	S	Sandnes	05:34:00	|2	|1
07:51:00	D	S	Mariero	07:51:00	|12	|1
07:52:00	D	S	Ganddal	07:54:00	|11	|1
07:54:00	D	S	Jattavagen	07:54:00	|12	|1
07:56:00	D	S	Varhaug	07:46:00	|9	|1
07:56:00	D	S	Oksnavadporten	07:57:00	|11	|1
07:57:00	D	S	Gausel	07:57:00	|12	|1
07:59:00	D	S	Klepp	08:00:00	|11	|1
08:00:00	D	S	Vigrestad	07:51:00	|9	|1
08:01:00	D	S	StavangerS	05:00:00	|1	|1
08:02:00	D	S	SandnesS	08:02:00	|12	|1
08:03:00	D	S	Paradis	08:03:00	|13	|1
08:04:00	D	S	Brusand	07:55:00	|9	|1
08:06:00	D	S	Bryne	08:06:00	|11	|1
08:06:00	D	S	Mariero	08:06:00	|13	|1
08:07:00	D	S	Ogna	07:58:00	|9	|1
08:09:00	D	S	Jattavagen	08:09:00	|13	|1
08:10:00	D	S	Sirevag	08:01:00	|9	|1
08:12:00	D	S	Gausel	08:12:00	|13	|1
08:15:00	D	S	Hellvik	08:06:00	|9	|1
08:16:00	D	S	StavangerS	05:00:00	|1	|1
08:17:00	D	S	SandnesS	08:17:00	|13	|1
08:18:00	D	S	Paradis	08:18:00	|14	|1
08:19:00	D	S	Sandnes	05:34:00	|2	|1
08:21:00	D	S	Mariero	08:21:00	|14	|1
08:22:00	D	S	Ganddal	08:22:00	|13	|1
08:24:00	D	S	Jattavagen	08:24:00	|14	|1
08:26:00	D	S	Oksnavadporten	08:26:00	|13	|1
08:27:00	D	S	Gausel	08:27:00	|14	|1
08:29:00	D	S	Klepp	08:29:00	|13	|1
08:31:00	D	S	StavangerS	05:00:00	|1	|1
08:32:00	D	S	SandnesS	08:32:00	|14	|1
08:33:00	D	S	Paradis	08:33:00	|15	|1
08:35:00	D	S	Bryne	08:33:00	|13	|1
08:36:00	D	S	Mariero	08:36:00	|15	|1
08:39:00	D	S	Jattavagen	08:39:00	|15	|1
08:42:00	D	S	Gausel	08:42:00	|15	|1
08:43:00	D	S	Naerbo	07:10:00	|7	|1
08:46:00	D	S	StavangerS	05:00:00	|1	|1
08:47:00	D	S	SandnesS	08:47:00	|15	|1
08:47:00	D	S	Varhaug	08:43:00	|13	|1
08:48:00	D	S	Paradis	08:48:00	|16	|1
08:49:00	D	S	Sandnes	05:34:00	|2	|1
08:51:00	D	S	Mariero	08:51:00	|16	|1
08:51:00	D	S	Vigrestad	08:48:00	|13	|1
08:52:00	D	S	Ganddal	08:52:00	|15	|1
08:54:00	D	S	Jattavagen	08:54:00	|16	|1
08:55:00	D	S	Brusand	08:52:00	|13	|1
08:56:00	D	S	Oksnavadporten	08:56:00	|15	|1
08:57:00	D	S	Gausel	08:57:00	|16	|1
08:58:00	D	S	Ogna	08:56:00	|13	|1
08:59:00	D	S	Klepp	08:59:00	|15	|1
09:01:00	D	S	Sirevag	08:59:00	|13	|1
09:01:00	D	S	StavangerS	05:00:00	|1	|1
09:02:00	D	S	SandnesS	09:02:00	|16	|1
09:03:00	D	S	Paradis	09:03:00	|17	|1
09:06:00	D	S	Mariero	09:06:00	|17	|1
09:06:00	D	S	Hellvik	09:04:00	|13	|1
09:06:00	D	S	Bryne	09:05:00	|15	|1
09:09:00	D	S	Jattavagen	09:09:00	|17	|1
09:12:00	D	S	Gausel	09:12:00	|17	|1
09:17:00	D	S	SandnesS	09:17:00	|17	|1
09:19:00	D	S	Sandnes	05:34:00	|2	|1
09:22:00	D	S	Ganddal	09:22:00	|17	|1
09:26:00	D	S	Oksnavadporten	09:26:00	|17	|1
09:29:00	D	S	Klepp	09:29:00	|17	|1
09:35:00	D	S	Bryne	09:33:00	|17	|1
09:43:00	D	S	Naerbo	07:10:00	|7	|1
09:47:00	D	S	Varhaug	09:42:00	|17	|1
09:51:00	D	S	Vigrestad	09:48:00	|17	|1
09:55:00	D	S	Brusand	09:52:00	|17	|1
09:58:00	D	S	Ogna	09:56:00	|17	|1
10:01:00	D	S	Sirevag	09:59:00	|17	|1
10:06:00	D	S	Hellvik	10:04:00	|17	|1
